epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.973,1.55984,5.61112,0.00676,0.1493,0.05144,0.02785,0.01859,1.32558,3.20299,0.00658,0.00033114,0.00033114,0.0672171
2,151.655,1.45739,3.68465,0.00633,0.36626,0.11306,0.08185,0.04911,1.29086,2.33592,0.00628,0.000642546,0.000642546,0.0341952
3,200.282,1.44092,2.67178,0.00608,0.6109,0.20407,0.19364,0.1194,1.29556,1.83685,0.00626,0.000931952,0.000931952,0.00115125
4,253.143,1.41463,2.00807,0.00599,0.59048,0.29045,0.31041,0.19356,1.26738,1.51819,0.00605,0.000901,0.000901,0.000901
5,306.997,1.39921,1.69955,0.00585,0.66512,0.35299,0.36116,0.22579,1.27421,1.34379,0.00611,0.000868,0.000868,0.000868
6,363.967,1.37101,1.52439,0.00573,0.64922,0.37737,0.39032,0.24695,1.26769,1.28032,0.00611,0.000835,0.000835,0.000835
7,417.692,1.36173,1.41772,0.00565,0.62646,0.44845,0.44349,0.27837,1.27835,1.17916,0.00619,0.000802,0.000802,0.000802
8,473.972,1.34501,1.32371,0.00556,0.72208,0.45917,0.46137,0.29347,1.27095,1.13989,0.00606,0.000769,0.000769,0.000769
9,527.887,1.34184,1.27098,0.00559,0.62658,0.47263,0.49381,0.31793,1.26867,1.08985,0.00609,0.000736,0.000736,0.000736
10,579.466,1.33027,1.21545,0.00553,0.78393,0.4639,0.52128,0.33331,1.26934,1.0982,0.00609,0.000703,0.000703,0.000703
11,632.954,1.32899,1.17162,0.00542,0.77094,0.48201,0.53479,0.35034,1.25755,1.02119,0.00603,0.00067,0.00067,0.00067
12,686.37,1.31662,1.12939,0.00548,0.72901,0.52521,0.54757,0.34634,1.26051,1.04758,0.006,0.000637,0.000637,0.000637
13,738.633,1.3096,1.09888,0.00537,0.76061,0.53823,0.57148,0.36431,1.25994,0.99892,0.00606,0.000604,0.000604,0.000604
14,791.487,1.30498,1.07613,0.00535,0.78227,0.50863,0.56554,0.3628,1.26707,0.99793,0.00611,0.000571,0.000571,0.000571
15,844.216,1.30531,1.04457,0.00534,0.79076,0.51143,0.59111,0.38045,1.24895,0.99011,0.00604,0.000538,0.000538,0.000538
16,898.238,1.29134,1.02323,0.0053,0.78138,0.55309,0.60038,0.38208,1.25243,0.96713,0.00606,0.000505,0.000505,0.000505
17,952.312,1.29416,0.9933,0.00523,0.72399,0.59864,0.6078,0.38856,1.25516,0.95958,0.00604,0.000472,0.000472,0.000472
18,1006.7,1.2769,0.97467,0.00524,0.72535,0.59882,0.61845,0.38931,1.23911,0.96022,0.00593,0.000439,0.000439,0.000439
19,1061.69,1.28266,0.98429,0.00528,0.80096,0.54807,0.63034,0.40103,1.23857,0.9659,0.00598,0.000406,0.000406,0.000406
20,1115.49,1.26888,0.94934,0.00524,0.73802,0.60668,0.62753,0.39378,1.24301,0.9459,0.0059,0.000373,0.000373,0.000373
21,1174.08,1.24449,0.85158,0.00594,0.7771,0.59024,0.62734,0.39588,1.2419,0.936,0.00593,0.00034,0.00034,0.00034
22,1227.72,1.23394,0.81901,0.00583,0.79032,0.5843,0.63287,0.40001,1.23455,0.9302,0.00585,0.000307,0.000307,0.000307
23,1281.2,1.22867,0.80857,0.00571,0.75356,0.61048,0.63529,0.40414,1.22707,0.92352,0.0058,0.000274,0.000274,0.000274
24,1337.15,1.22205,0.7958,0.00574,0.81927,0.56069,0.64422,0.415,1.23274,0.90807,0.00585,0.000241,0.000241,0.000241
25,1392.81,1.2191,0.78209,0.00565,0.80976,0.57571,0.64323,0.41235,1.22348,0.91831,0.00576,0.000208,0.000208,0.000208
26,1447.69,1.21959,0.78186,0.0058,0.80219,0.57938,0.64619,0.41372,1.23218,0.91821,0.00579,0.000175,0.000175,0.000175
27,1500.52,1.21291,0.77708,0.00568,0.82919,0.54484,0.64496,0.41503,1.22626,0.91202,0.00579,0.000142,0.000142,0.000142
28,1553.74,1.20763,0.76497,0.0057,0.82473,0.56511,0.64994,0.41693,1.22773,0.91026,0.00579,0.000109,0.000109,0.000109
29,1607.58,1.20151,0.76153,0.00566,0.80906,0.57794,0.65103,0.41741,1.2215,0.90765,0.00577,7.6e-05,7.6e-05,7.6e-05
30,1660.09,1.20687,0.76184,0.00563,0.81943,0.56754,0.65126,0.42059,1.21996,0.90049,0.00574,4.3e-05,4.3e-05,4.3e-05
