epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.595,1.86543,3.15752,0.0097,0.2995,0.19608,0.16153,0.07955,1.76029,2.3636,0.01175,0.00332893,0.00332893,0.0700396
2,479.902,1.86177,2.44057,0.00983,0.31892,0.28548,0.25276,0.12993,1.67773,2.18351,0.01074,0.00639844,0.00639844,0.0397758
3,669.416,1.79465,2.13216,0.00945,0.56322,0.35547,0.32288,0.16751,1.67643,1.91118,0.01063,0.00920395,0.00920395,0.00924798
4,860.906,1.7788,1.98135,0.00927,0.54603,0.34747,0.31332,0.16786,1.64919,1.80466,0.01057,0.008812,0.008812,0.008812
5,1058.83,1.73939,1.84915,0.00881,0.56239,0.40995,0.37313,0.20869,1.48903,1.52905,0.00887,0.008416,0.008416,0.008416
6,1266.62,1.70919,1.78802,0.00864,0.5228,0.4209,0.36356,0.20425,1.5296,1.57962,0.00968,0.00802,0.00802,0.00802
7,1450.88,1.67133,1.70274,0.0084,0.67365,0.40935,0.40568,0.2328,1.48369,1.51347,0.00921,0.007624,0.007624,0.007624
8,1656.97,1.64416,1.63543,0.00819,0.65389,0.41165,0.42206,0.24035,1.46362,1.453,0.00864,0.007228,0.007228,0.007228
9,1866.27,1.62798,1.54062,0.00794,0.66736,0.43623,0.43545,0.23728,1.48887,1.41697,0.00841,0.006832,0.006832,0.006832
10,2081.73,1.60145,1.47729,0.00796,0.74354,0.35825,0.44338,0.25401,1.45353,1.3742,0.0085,0.006436,0.006436,0.006436
11,2290.16,1.58758,1.43999,0.00785,0.70543,0.46045,0.47463,0.27379,1.4506,1.27923,0.00851,0.00604,0.00604,0.00604
12,2489.5,1.55658,1.38796,0.00768,0.65357,0.48317,0.46937,0.2687,1.44147,1.24727,0.00816,0.005644,0.005644,0.005644
13,2703.77,1.52085,1.36358,0.00733,0.5421,0.47528,0.46195,0.27515,1.42274,1.24477,0.00804,0.005248,0.005248,0.005248
14,2917.76,1.53115,1.31634,0.00729,0.77216,0.40544,0.4843,0.28589,1.40862,1.18551,0.00803,0.004852,0.004852,0.004852
15,3118.21,1.51041,1.28624,0.00706,0.61121,0.50194,0.49661,0.2886,1.4074,1.22042,0.00817,0.004456,0.004456,0.004456
16,3347.45,1.44969,1.15468,0.00777,0.66148,0.4751,0.51198,0.31769,1.40126,1.19303,0.00816,0.00406,0.00406,0.00406
17,3546.34,1.4561,1.11796,0.00771,0.62699,0.56048,0.52297,0.31459,1.33213,1.16799,0.00729,0.003664,0.003664,0.003664
18,3750.12,1.41191,1.05108,0.00745,0.58956,0.53262,0.51783,0.31467,1.36583,1.1023,0.00777,0.003268,0.003268,0.003268
19,3940.84,1.39509,1.00512,0.00733,0.67767,0.51823,0.52399,0.31976,1.34337,1.12895,0.00744,0.002872,0.002872,0.002872
20,4138.82,1.38297,0.98964,0.00709,0.67315,0.52351,0.56654,0.3527,1.32188,1.08205,0.00717,0.002476,0.002476,0.002476
21,4343.2,1.36559,0.96138,0.0071,0.61328,0.5268,0.54976,0.34109,1.3209,1.06588,0.00733,0.00208,0.00208,0.00208
22,4541.11,1.34038,0.92458,0.00688,0.6982,0.51744,0.56495,0.34929,1.3181,1.04496,0.00711,0.001684,0.001684,0.001684
23,4740.72,1.34075,0.91927,0.00678,0.67143,0.53721,0.5712,0.35186,1.29766,1.03723,0.00704,0.001288,0.001288,0.001288
24,4935.26,1.33293,0.88378,0.00686,0.70006,0.53322,0.56768,0.35773,1.2814,1.06055,0.00683,0.000892,0.000892,0.000892
25,5126.07,1.31144,0.87992,0.00671,0.69671,0.54999,0.56964,0.36132,1.28131,1.03007,0.00685,0.000496,0.000496,0.000496
